"Time","Value"
1734707739000,691
1734707739500,
1734707740000,
1734707740500,
1734707741000,691
1734707741500,
1734707742000,
1734707742500,
1734707743000,688
1734707743500,
1734707744000,
1734707744500,
1734707745000,690
1734707745500,
1734707746000,
1734707746500,691
1734707747000,
1734707747500,
1734707748000,
1734707748500,690
1734707749000,
1734707749500,
1734707750000,
1734707750500,689
1734707751000,
1734707751500,
1734707752000,
1734707752500,691
1734707753000,
1734707753500,
1734707754000,
1734707754500,692
1734707755000,
1734707755500,
1734707756000,690
1734707756500,
1734707757000,
1734707757500,
1734707758000,689
1734707758500,
1734707759000,
1734707759500,
1734707760000,691
1734707760500,
1734707761000,
1734707761500,
1734707762000,690
1734707762500,
1734707763000,
1734707763500,
1734707764000,689
1734707764500,
1734707765000,
1734707765500,690
1734707766000,
1734707766500,
1734707767000,
1734707767500,689
1734707768000,
1734707768500,
1734707769000,
1734707769500,690
1734707770000,
1734707770500,
1734707771000,
1734707771500,691
1734707772000,
1734707772500,
1734707773000,
1734707773500,692
1734707774000,
1734707774500,
1734707775000,691
1734707775500,
1734707776000,
1734707776500,
1734707777000,689
1734707777500,
1734707778000,
1734707778500,
1734707779000,691
1734707779500,
1734707780000,
1734707780500,
1734707781000,692
1734707781500,
1734707782000,
1734707782500,
1734707783000,688
1734707783500,
1734707784000,
1734707784500,692
1734707785000,
1734707785500,
1734707786000,
1734707786500,693
1734707787000,
1734707787500,
1734707788000,
1734707788500,690
1734707789000,
1734707789500,
1734707790000,
1734707790500,689
1734707791000,
1734707791500,
1734707792000,
1734707792500,689
1734707793000,
1734707793500,
1734707794000,691
1734707794500,
1734707795000,
1734707795500,
1734707796000,689
1734707796500,
1734707797000,
1734707797500,
1734707798000,692
1734707798500,
1734707799000,
1734707799500,
1734707800000,689
1734707800500,
1734707801000,
1734707801500,
1734707802000,691
1734707802500,
1734707803000,
1734707803500,690
1734707804000,
1734707804500,
1734707805000,
1734707805500,689
1734707806000,
1734707806500,
1734707807000,
1734707807500,691
1734707808000,
1734707808500,
1734707809000,
1734707809500,690
1734707810000,
1734707810500,
1734707811000,
1734707811500,692
1734707812000,
1734707812500,
1734707813000,689
1734707813500,
1734707814000,
1734707814500,
1734707815000,691
1734707815500,
1734707816000,
1734707816500,
1734707817000,691
1734707817500,
1734707818000,
1734707818500,
1734707819000,692
1734707819500,
1734707820000,
1734707820500,
1734707821000,689
1734707821500,
1734707822000,
1734707822500,691
1734707823000,
1734707823500,
1734707824000,
1734707824500,691
1734707825000,
1734707825500,
1734707826000,
1734707826500,691
1734707827000,
1734707827500,
1734707828000,
1734707828500,691
1734707829000,
1734707829500,
1734707830000,
1734707830500,689
1734707831000,
1734707831500,
1734707832000,691
1734707832500,
1734707833000,
1734707833500,
1734707834000,691
1734707834500,
1734707835000,
1734707835500,
1734707836000,688
1734707836500,
1734707837000,
1734707837500,
1734707838000,691
1734707838500,
1734707839000,
1734707839500,
1734707840000,691
1734707840500,
1734707841000,
1734707841500,689
1734707842000,
1734707842500,
1734707843000,
1734707843500,692
1734707844000,
1734707844500,
1734707845000,
1734707845500,689
1734707846000,
1734707846500,
1734707847000,
1734707847500,690
1734707848000,
1734707848500,
1734707849000,
1734707849500,689
1734707850000,
1734707850500,
1734707851000,691
1734707851500,
1734707852000,
1734707852500,
1734707853000,691
1734707853500,
1734707854000,
1734707854500,
1734707855000,690
1734707855500,
1734707856000,
1734707856500,
1734707857000,691
1734707857500,
1734707858000,
1734707858500,
1734707859000,692
1734707859500,
1734707860000,
1734707860500,689
1734707861000,
1734707861500,
1734707862000,
1734707862500,691
1734707863000,
1734707863500,
1734707864000,
1734707864500,691
1734707865000,
1734707865500,
1734707866000,
1734707866500,691
1734707867000,
1734707867500,
1734707868000,
1734707868500,690
1734707869000,
1734707869500,
1734707870000,689
1734707870500,
1734707871000,
1734707871500,
1734707872000,690
1734707872500,
1734707873000,
1734707873500,
1734707874000,689
1734707874500,
1734707875000,
1734707875500,
1734707876000,691
1734707876500,
1734707877000,
1734707877500,
1734707878000,691
1734707878500,
1734707879000,
1734707879500,691
1734707880000,
1734707880500,
1734707881000,
1734707881500,689
1734707882000,
1734707882500,
1734707883000,
1734707883500,691
1734707884000,
1734707884500,
1734707885000,
1734707885500,692
1734707886000,
1734707886500,
1734707887000,
1734707887500,690
1734707888000,
1734707888500,
1734707889000,690
1734707889500,
1734707890000,
1734707890500,
1734707891000,690
1734707891500,
1734707892000,
1734707892500,
1734707893000,690
1734707893500,
1734707894000,
1734707894500,
1734707895000,692
1734707895500,
1734707896000,
1734707896500,
1734707897000,691
1734707897500,
1734707898000,
1734707898500,691
1734707899000,
1734707899500,
1734707900000,
1734707900500,691
1734707901000,
1734707901500,
1734707902000,
1734707902500,691
1734707903000,
1734707903500,
1734707904000,
1734707904500,690
1734707905000,
1734707905500,
1734707906000,
1734707906500,689
1734707907000,
1734707907500,
1734707908000,687
1734707908500,
1734707909000,
1734707909500,
1734707910000,692
1734707910500,
1734707911000,
1734707911500,
1734707912000,691
1734707912500,
1734707913000,
1734707913500,
1734707914000,689
1734707914500,
1734707915000,
1734707915500,
1734707916000,691
1734707916500,
1734707917000,
1734707917500,691
1734707918000,
1734707918500,
1734707919000,
1734707919500,690
1734707920000,
